,text_a,text_b,scores
1109,How can I turn off shortcuts?,Method of Removing Bank Card from Online Payment,5
1110,How do I get on the subway?,Method of Using Bank Card to Swipe Bus and Metro,5
1111,What can I do if my phone does not respond when I swipe a bank card?,What can I do if my phone does not respond when I swipe a bank card?,5
1112,How do I set Alipay as the default payment mode?,How do I enable Alipay payment code?,5
1113,Failed to obtain the card information.,The system notifies a subscriber that the card information is incorrect after the subscriber selects a payment bank card.,5
1114,How do I delete and unbind the bank card bound to Alipay quick payment?,Method of Removing Bank Card from Online Payment,5
1115,Does my phone have a key?,Number of keys and models that can be added,5
1116,"What does ""Scan"" and ""Payment Code"" mean?",What are the scan and payment code in my wallet?,5
1117,Use/Applicability of the Beijing-Tianjin-Hebei Interconnection Card,Application scenario of the transportation card: application scope of the transportation joint card in each city,5
1118,Does the Honor 8 Lite support Pay?,Models that support Huawei Pay bank cards and the number of supported cards,5
1119,"My account login error, the login into the previous mobile phone number, but that early forgot the password, I now want to switch back, but not",How can I submit a self-service complaint using my Huawei ID?,5
1120,Cancel Alipay,Unbind payment code (Alipay),5
1121,Can I subscribe to the all-in-one card service on my mobile phone?,Models that support transportation cards and the number of supported cards,5
1122,Why does the traffic card display a black card?,What can I do if the Beijing card cannot be used after being overdrawn?,5
1123,Huawei Pay Forgot Password,Method of retrieving the payment password,5
1124,Always return to the main page can not add the door key,What Can I Do If the Huawei Pay Home Page Is Displayed After I Add a Door Key and Click the Simulate Button?,5
1125,Why can't I use my Huawei phone to take a bus?,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
1126,How can I delete my transportation card if I lost my phone?,"How do I delete my bank card, transportation card, eID, or door key if I have lost my phone or my phone is not repaired, sold, or replaced by a Huawei Customer Service Center?",5
1127,Why can't I add a Nanjing transportation card to my phone?,Only some models of the all-in-one card and Jinling pass of Jiangsu Communications support this feature.,5
1128,This mobile phone is a test phone of Huawei. The login account is the account of the resigned employee. What should I do if I cannot log out?,How can I submit a self-service complaint using my Huawei ID?,5
1129,What can I do if my Huawei ID password cannot be retrieved because I lost my email password at xiyinghrs@163.com?,How can I submit a self-service complaint using my Huawei ID?,5
1130,What are the keys to the door?,Which of the following door keys can be added?,5
1131,Which phone models support the binding of a key?,Number of keys and models that can be added,5
1132,Deducting Fees for Failure to Bind a Transportation Card,Failed to add the transportation card to the Huawei Pay.,5
1133,"Say is free open Beijing-Tianjin-Hebei interconnectivity card, why still deduct money?",Huawei Pay Beijing-Tianjin-Hebei Interconnection Card Free Card Issuance Campaign Problem Collection,5
1134,Failed to bind the bank card.,Failed to Add a Bank Card,5
1135,The payment password cannot be set.,Changing the Payment Password,5
1136,How can I change the member account if I forget the member password?,How can I submit a self-service complaint using my Huawei ID?,5
1137,What can I do if the password is incorrect or cannot be reset when I make a payment using my mobile phone?,Changing the Payment Password,5
1138,Why can't I bind a bank card to the Huawei Pay? I tried several times but failed.,Failed to Add a Bank Card,5
1139,Why is it that traffic cards keep taking money away?,Repeated Fee Deduction for Huawei Pay Traffic Card Swiping,5
1140,Why can't I log in to the login page?,What can I do if I can't log in with my Huawei ID?,5
1141,Failed to recharge the Beijing bus card through the Huawei Pay.,How to Handle the Failure to Recharge the Transportation Card,5
1142,How do I reset a security question?,Method of resetting the security question,5
1143,How to apply for an electronic identity card,Method of Enabling the eID Service,5
1144,Removed the Alipay payment code.,Unbind payment code (Alipay),5
1145,Can flight cross - section use eID attestation?,Which of the following scenarios can eID be used in?,5
1146,How do I operate my e-ID card on my Huawei phone?,Method of Enabling the eID Service,5
1147,No response when swiping the traffic card,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
1148,Why is there no swipe card on my Mates Huawei Pay?,Why is there no swipe card on my Mates Huawei Pay?,5
1149,The network is disconnected. Please try again.,"What Can I Do If the Message ""The network is not connected. Please click to try again"" Is Displayed When I Apply for a Credit Card?",5
1150,How long after the traffic card is activated can I delete the card?,Refund the balance of the deleted transportation card in the Huawei Pay.,5
1151,Association between transportation cards and Alipay,How do I enable Alipay payment code?,5
1152,Can I rewrite the password protection question?,Method of resetting the security question,5
1153,"What can I do if I keep using my fingerprint and forget the lock screen password, but the phone number bound to my Huawei ID is no longer used and the password is forgotten?",How can I submit a self-service complaint using my Huawei ID?,5
1154,What conditions do I need to meet when I swipe my bank card to take a bus?,Method of Using Bank Card to Swipe Bus and Metro,5
1155,What can I do if I forget the payment verification password?,Method of retrieving the payment password,5
1156,Traffic card swiping failed.,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
1157,Why does my phone display an invalid card when I swipe my card to take a subway trip?,How to Deal with the Failure of Using Bank Card to Swipe Bus and Subway,5
1158,Who Can I Contact When Duplicate Fees Are Deducted from an nfc Bus Card?,Repeated Fee Deduction for Huawei Pay Traffic Card Swiping,5
1159,What can I do if the payment code of my wallet is unavailable?,What can I do if the payment code of my wallet is unavailable?,5
1160,I sensed the bank card. It can't be found.,What can I do if my phone does not respond when I swipe a bank card?,5
1161,The number of cards bound to the wallet has reached the upper limit.,Does my phone or wearable device support bank cards (cloud flash payment) or transportation cards?,5
1162,The Honor Play does not have a door key.,Number of keys and models that can be added,5
1163,How do I unbind the eID bound to the old mainboard?,"How do I delete my bank card, transportation card, eID, or door key if I have lost my phone or my phone is not repaired, sold, or replaced by a Huawei Customer Service Center?",5
1164,No transportation card option is available on the Huawei Pay.,Failed to add the transportation card to the Huawei Pay.,5
1165,What is the key to the hotel room card?,What is a smart hotel room card?,5
1166,Shanghai Transportation Card Registration Fee Refund,Shanghai Public Transport Card Time-Limited Free-of-Charge Activities,5
1167,I can't swipe my bus card on my phone.,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
1168,Why can't I make a quick payment when I bind my bank card to my phone?,What can I do if my phone does not respond when I swipe a bank card?,5
1169,Beijing Failed to Swipe a Traffic Card,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
1170,How do I make out an invoice for Chang'antong?,Obtain the top-up invoice of the Huawei Pay transportation card.,5
1171,How do I remove a SIM card when my old phone is lost?,What can I do if I lose my bank card?,5
1172,Keep vibrating after swiping the card,Why does the screen vibrate repeatedly after I have successfully swiped my card?,5
1173,"Shijiazhuang, preferential card opening",Huawei Pay Shijiazhuang All-in-One Card Promotion with CNY0 Discount,5
1174,Why does Mate 8 not support the access card function when it has NFC?,Number of keys and models that can be added,5
1175,Can't I recharge my Shanghai Transportation Card? Robot?,How to Handle the Failure to Recharge the Transportation Card,5
1176,"Hello, I recharged my transportation card before, but it didn't arrive.",Huawei Pay Traffic Card Recharge Not Received,5
1177,I applied for the all-in-one card. Can it be used in Hebei?,Which cities does the transportation card support?,5
1178,How can I recharge the interconnection card?,Method of Recharging a Transportation Card,5
1179,"What can I do if I lost my phone and bought another Huawei phone, but the SIM card I bound to my phone was a non-local SIM card, and I can't find the new SIM card temporarily and can't remember the password?",How can I submit a self-service complaint using my Huawei ID?,5
1180,How to Bind a Mobile Phone to a Traffic Card,Add a transportation card to the Huawei Pay.,5
1181,I don't have a key in this purse.,Number of keys and models that can be added,5
1182,Why does smart home access card pairing fail?,Pairing failed when the smart home access card is enabled.,5
1183,Unable to enter the station by brushing the subway passageway,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
1184,Does my phone support access control cards?,Number of keys and models that can be added,5
1185,Why does the wallet pop out automatically?,The Huawei Pay card swiping page is automatically displayed.,5
1186,How do I delete an added Alipay?,Unbind payment code (Alipay),5
1187,The new bound credit card is not allowed to be used for transactions during POS flash payment.,A Method of Flash Payment with Huawei Pay Bank Card on POS Machine,5
1188,Why can't I swipe my bank card when I am on a bus after I add a bank card to Huawei Pay and enable NFC?,How to Deal with the Failure of Using Bank Card to Swipe Bus and Subway,5
1189,Does the Mate system support the binding of bank cards?,Models that support Huawei Pay bank cards and the number of supported cards,5
1190,"When returning card, how does the money that sheep city passes remain do?",Method of Refunding Balance of Yangcheng Pass Card,5
1191,Can I use an NFC transportation card in Jiangsu?,Which cities does the transportation card support?,5
1192,"Hello, I opened the traffic card, why did not refund card fees?",Shanghai Public Transport Card Time-Limited Free-of-Charge Activities,5
1193,Failed to refresh the bus code.,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
1194,Why can't I add an access card for the Mate 20 Pro international edition?,Number of keys and models that can be added,5
1195,Delete Card,Refund the balance of the deleted transportation card in the Huawei Pay.,5
1196,Can the Beijing card be used in Hebei?,Beijing municipal transportation all-in-one card upgraded to Beijing-Tianjin-Hebei interconnection card,5
1197,H-coin recharge game,How do I recharge my account with a H-coin card?,5
1198,What is an Huawei Pay card?,Huawei Pay Transportation Card Introduction and Usage Guide,5
1199,Entrance for adding a traffic card,Add a transportation card to the Huawei Pay.,5
1200,Invoices for all-in-one card recharge in each city,Recharge invoice of Huawei Pay transportation card: All-in-one card in each city,5
1201,An unknown error occurred when adding the bank card.,Failed to Add a Bank Card,5
1202,Application Scope of Shenzhen Unicom,Usage scenario of the transportation card: applicable scope of the all-in-one card in each city,5
1203,Can't I use the Honor 7X?,Models that support transportation cards and the number of supported cards,5
1204,What can I do if I forget my payment password?,Method of retrieving the payment password,5
1205,Can I get an electronic invoice?,Obtain the top-up invoice of the Huawei Pay transportation card.,5
1206,I need to file a complaint to retrieve the payment password.,Method of retrieving the payment password,5
1207,"Hello, please cancel the monthly fee of 12 yuan. Thank you.",How Do I Disable the Auto-Renew Service?,5
1208,"Hi, my phone is a Nova 3 phone, and no transportation card is added to my wallet. Why?",Number of keys and models that can be added,5
1209,Which of the following mobile phones support transportation cards?,Models that support transportation cards and the number of supported cards,5
1210,"Beijing, Tianjin, and Hebei support cities",What is the Beijing - Tianjin - Hebei Interconnection Card?,5
1211,Querying Card Swiping Details,Viewing Huawei Pay Bank Card Transaction Records,5
1212,"When I swipe a bus card on the Huawei Pay, the card reader only displays a message indicating that the card is swiped, but not a message indicating that the card is swiped successfully.",Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
1213,Want to use smart home access card,How to add a smart home access card,5
1214,POS machine,How to use Huawei Pay bank card to make payment on POS machine,5
1215,I don't need an eID.,Deleting an eID,5
1216,"I lost my p20 today. I cann't get my money back from the traffic. In addition, this mobile phone is Mate 10. Why is there no transportation card option?","How do I delete my bank card, transportation card, eID, or door key if I have lost my phone or my phone is not repaired, sold, or replaced by a Huawei Customer Service Center?",5
1217,I can't use my card to eat in Huawei's canteen.,What can I do if the payment code of my wallet is unavailable?,5
1218,Can I use the key to the 9P?,Why can't I open the door if the key is added successfully?,5
1219,Why is the auto-renewal enabled?,Unreasonable deduction from Huawei Pay,5
1220,I can't set the code here.,Changing the Payment Password,5
1221,"Hello! If I have no consumption, how can I get my credit card swiped through Huawei payment?",Unreasonable deduction from Huawei Pay,5
1222,How do I authenticate my real name?,What is real-name authentication?,5
1223,"I changed my cell phone number, but I can't remember the old password.",How can I submit a self-service complaint using my Huawei ID?,5
1224,What is the new concept of network ID card?,What Is eID?,5
1225,The bank card disappears.,The card/bank card in your wallet has disappeared,5
1226,"Hello, I opened traffic card before, change a mobile phone to log in, why is there no money inside the wallet?",What can I do if the original card balance is lost after a card update or migration?,5
1227,Real-name authentication,What is real-name authentication?,5
1228,Delete the bank card used for online payment.,Method of Removing Bank Card from Online Payment,5
1229,Can I enable WeChat fingerprint payment on my Huawei phone?,What is the relationship between the screen unlock fingerprint and the quick payment fingerprint?,5
1230,What is the Beijing - Tianjin - Hebei Interconnection Card?,What is the Beijing - Tianjin - Hebei Interconnection Card?,5
1231,The card recharge amount is not received.,Huawei Pay Traffic Card Recharge Not Received,5
1232,Where's the door key?,Viewing/Deleting a Door Key,5
1233,How do I check how many access cards I have?,Viewing/Deleting a Door Key,5
1234,Why can't I associate my bank card with Huawei Pay?,Failed to Add a Bank Card,5
1235,The NFC cannot identify the access card.,Solution to the Problem that the Card Does Not Respond When the Key Is Added,5
1236,Which phones support UnionPay payment codes?,Which phones support UnionPay payment codes?,5
1237,What can you do with eid now?,Which of the following scenarios can eID be used in?,5
1238,Does my phone support NFC? How can I use a bank card of the Bank of Communications?,Bank card types that can be added to your wallet are not supported on NFC-enabled devices (not supported by Huawei Pay).,5
1239,How to enable the eID service?,Method of Enabling the eID Service,5
1240,"When I use Huawei Pay to make a payment, the payment page is suspended, or the payment page does not respond or return. What can I do?",What can I do if my phone does not respond when I swipe a bank card?,5
1241,Models that support the borrowing function,Models that support the borrowing function,5
1242,6% off the original price.,"Huawei Pay mobile phone flash payment, taking Shenzhen Metro at a 12% discount",5
1243,Refunding,Refund the balance of the deleted transportation card in the Huawei Pay.,5
1244,Add Member Card,Adding a Member Card,5
1245,Why doesn't my phone have a door key?,Number of keys and models that can be added,5
1246,"Hello, honey. Hello?",salutes,5
1247,What are the options for logging in to my Huawei ID?,How do I log in with my Huawei ID?,5
1248,How do I use the OneHop payment function?,Using a bank card to make a one-touch payment,5
1249,I'd like to know why the ticket machine doesn't work.,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
1250,Why can't Alipay be logged in to Huawei Pay?,How do I enable Alipay payment code?,5
1251,Unwarranted deduction from the wallet,Unreasonable deduction from Huawei Pay,5
1252,How to Use the Membership Card,How to Use the Membership Card,5
1253,"When the huaweipay is used to bind the ID card, the system displays a message indicating that the identity information is invalid.","Why Does the Message ""Verifying the identity failed"" Display?",5
1254,Why can't I log in to Google Store?,What can I do if I can't log in with my Huawei ID?,5
1255,How can I deduct fees when I swipe my bank card in the subway?,Use the bank card to deduct the metro fee.,5
1256,"Hello, I recharge my bus card. How can I issue an invoice?",Obtain the top-up invoice of the Huawei Pay transportation card.,5
1257,How to top up with H-coins?,How do I recharge my account with a H-coin card?,5
1258,What is Huawei Pay used for?,Introduction to Huawei Pay,5
1259,Delete Alipay Association,Unbind payment code (Alipay),5
1260,How do I delete an Alipay account?,Unbind payment code (Alipay),5
1261,What can I do if I forget my account password because my phone number is unavailable?,How can I submit a self-service complaint using my Huawei ID?,5
1262,No transaction on the transport card,"When I swipe my transportation card/door key, the system displays a message indicating that the transaction fails and I need to swipe my card again. What can I do?",5
1263,How can I change the password of my account if I forget it?,Forgot your Huawei ID password,5
1264,There's no key in the upper right corner.,Number of keys and models that can be added,5
1265,Does Huawei P9 support mobile phone payment?,Models that support Huawei Pay bank cards and the number of supported cards,5
1266,What can I do if I forget the password used to restore my phone to its factory settings?,Forgot your Huawei ID password,5
1267,"There is no ""smart home card"" in the wallet.","There is no ""door card"" or ""smart home door card"" in the wallet.",5
1268,Why can't I enable account protection for my Huawei ID?,How do I enable account protection for my Huawei ID?,5
1269,Why didn't I find Hefei Tong?,Which cities does the transportation card support?,5
1270,Failed to issue the card.,Failed to add the transportation card to the Huawei Pay.,5
1271,Pro: Are you there?,salutes,5
1272,Prompt you to recharge. What's the matter?,Huawei Pay Traffic Card Recharge Not Received,5
1273,Why does the front page of my mobile wallet pop out?,The Huawei Pay card swiping page is automatically displayed.,5
1274,How to enable the eID in the Huawei Pay?,Method of Enabling the eID Service,5
1275,"Excuse me, do I have a bank card? I won't check it.",Failed to Add a Bank Card,5
1276,Can I add the access card of my own community to the Huawei Pay?,Number of keys and models that can be added,5
1277,Why can't I see the transaction records on my watch?,Querying the Consumption Records of the Huawei Pay Traffic Card on the Watch,5
1278,The bank card is not initialized and activated.,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
1279,The traffic card always fails to be swiped.,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
1280,Do I need to cancel the card opening fee after deleting the traffic card?,Service Fees for Opening and Deleting Transportation Cards,5
1281,"Beijing traffic card mobile phone lost, how to do not have on the new mobile phone?",Can I change my mobile phone to another one?,5
1282,"The bus recharge cannot be used, the entity card recharge?",Which phone models support the mobile phone recharge function?,5
1283,Does the Mate series support payment for fingerprint retention?,What is the relationship between the screen unlock fingerprint and the quick payment fingerprint?,5
1284,Application Scope of Xiamen e-Tone Card,Usage scenario of the transportation card: applicable scope of the all-in-one card in each city,5
1285,What can I do if I cannot see the entry for adding a bank card?,What can I do if I cannot see the entry for adding a bank card?,5
1286,"Hello, my transportation card is open. Why is the fee not open?",Shanghai Public Transport Card Time-Limited Free-of-Charge Activities,5
1287,I can't recharge my transportation card with my cell phone.,How to Handle the Failure to Recharge the Transportation Card,5
1288,"I already have Beijing bus card, can I add Beijing, Tianjin and Hebei Unicom card?",Models that support transportation cards and the number of supported cards,5
1289,Customer service of the transportation card company,Customer service hotline of each transportation card company,5
1290,Why can't I add a transportation card using Huawei Pay?,Failed to add the transportation card to the Huawei Pay.,5
1291,My Shenzhen Tong refund has not been refunded for half a month.,Refund the balance of the deleted transportation card in the Huawei Pay.,5
1292,How many Zhang Jiaotong cards can be attached to Mate 20?,Models that support transportation cards and the number of supported cards,5
1293,Panjin 50% discount bus ride?,"Details of buses with 1 cent/50% discount - Shouguang, Langfang, Jiangyin, Lianyungang, Fuzhou, Guilin, Wuzhou, Inner Mongolia, Panjin",5
1294,"When will the Beijing all-in-one card be upgraded to support interconnection between Beijing, Tianjin, and Yiyi?",Beijing municipal transportation all-in-one card upgraded to Beijing-Tianjin-Hebei interconnection card,5
1295,How do I set the access control card for an 8 C mobile phone?,Adding a Door Key,5
1296,Refund of service fee,Service Fees for Opening and Deleting Transportation Cards,5
1297,Huawei Pay always pops up.,The Huawei Pay card swiping page is automatically displayed.,5
1298,Why can't I swipe my access card on a Mate 20x?,Why can't I open the door if the key is added successfully?,5
1299,Querying Whether a Refund Is in the Refund State,Viewing the Refund Progress of Transportation Cards in the Huawei Pay,5
1300,Do you have the invoice for the course fee paid by Huawei?,Obtain the top-up invoice of the Huawei Pay transportation card.,5
1301,How do I disable WeChat password-free payment?,How Do I Disable the Auto-Renew Service?,5
1302,"I forgot my Huawei ID and password, but I changed my phone number. How can I get a new Huawei ID?",How can I submit a self-service complaint using my Huawei ID?,5
1303,What are the denominations of H-coin cards sold on Vmall?,What are the denominations of H-coin cards sold on Vmall?,5
1304,Why can't I use my transportation card?,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
1305,Why can't my phone support transportation cards when it has NFC?,Models that support transportation cards and the number of supported cards,5
1306,How do I migrate a virtual transportation card to a new phone?,Can I change my mobile phone to another one?,5
1307,"My facial recognition, but what can I do?","Why Does the Message ""Verifying the identity failed"" Display?",5
1308,The recharge in the balance reduction activity is not performed. The recharge is successful.,What Can I Do If the Recharge Status Is Successful but the Recharge Is Not Received After I Participate in the Mobile Phone Recharge and Deduction Campaign?,5
1309,How do I use the door key?,How to Use the Door Key,5
1310,Huawei Watch returns the transportation card,Refund the balance of the deleted transportation card in the Huawei Pay.,5
1311,Incorrect Huawei ID or password.,Forgot your Huawei ID password,5
1312,Can eID be used as an ID card for train ticket swiping?,Which of the following scenarios can eID be used in?,5
1313,Where can eID be used?,Which of the following scenarios can eID be used in?,5
1314,How can I get my bus card back?,The card/bank card in your wallet has disappeared,5
1315,Why does the wallet pop up when the mobile phone is opened?,The Huawei Pay card swiping page is automatically displayed.,5
1316,Can I remove the bank card used for online payment?,Method of Removing Bank Card from Online Payment,5
1317,Somebody?,salutes,5
1318,Verify or replace immediately.,"A message is displayed in the notification bar of your Huawei ID, indicating that your mobile number has not been verified for a long time. To avoid that the password cannot be retrieved, please verify or change it immediately. However, the message cannot be found after the screen is closed. How can I change the message?",5
1319,"Shenzhen one cents to do bus, with Huawei Pay prompt invalid.","Details of 1 cent/5 discount bus - Shenzhen, Beijing, Tianjin, Hangzhou, Lanzhou, Chongqing, Kunming, Jinan",5
1320,I don't know why I can't get my bus card on sometimes.,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
1321,How do I use my phone to add a transportation card?,Add a transportation card to the Huawei Pay.,5
1322,Modifying Subscriber Information,The system notifies a subscriber that the card information is incorrect after the subscriber selects a payment bank card.,5
1323,"There's still a balance in my Beijing, Tianjin and Hebei cards, but it's not there yet.",What can I do if the original card balance is lost after a card update or migration?,5
1324,What should I do if I am prompted with an invalid card when I swipe a bus card on the P20?,How to Deal with the Failure of Using Bank Card to Swipe Bus and Subway,5
1325,How do I get the door key?,Adding a Door Key,5
1326,A foreword is not in keeping with an afterword.,insulting,5
1327,I don't have a key in my wallet.,Number of keys and models that can be added,5
1328,I have changed my number and forgot my Huawei account password. How can I register a new account?,What can I do if I can't log in with my Huawei ID?,5
1329,"I downloaded Huawei Pay 9.0.3.806, how do I add the key to the door?",Adding a Door Key,5
1330,I'm not logging in with my phone number. I'd like to change my phone number now. I've forgotten the password. I can't.,How can I submit a self-service complaint using my Huawei ID?,5
1331,Chang'antong card opening and refunding fee,Service Fees for Opening and Deleting Transportation Cards,5
1332,I want to cancel the 12-dollar monthly package.,How Do I Disable the Auto-Renew Service?,5
1333,How do I take a bus by swiping my card?,Method of Using Bank Card to Swipe Bus and Metro,5
1334,"When I open the door using another app, a transportation card is always displayed.","When a third-party app is used to open the door, the traffic card is invoked.",5
1335,How to Query the Complaint Progress,Query of Huawei ID complaint progress,5
1336,Bind the Beijing-Tianjin-Hebei interconnection card.,"How to open Beijing, Tianjin and Hebei interconnection card?",5
1337,Where can I add a transportation card?,Add a transportation card to the Huawei Pay.,5
1338,How do I get the invoice for recharging my bus card?,Obtain the top-up invoice of the Huawei Pay transportation card.,5
1339,Why is there no key to the NOVA5 I bought yesterday?,Number of keys and models that can be added,5
1340,How do I close the Huawei Pay window that is automatically displayed?,The Huawei Pay card swiping page is automatically displayed.,5
1341,Failed to delete the card because it already exists.,Viewing/Deleting a Door Key,5
1342,The EID is bound to the old card and cannot be cleared.,"How do I delete my bank card, transportation card, eID, or door key if I have lost my phone or my phone is not repaired, sold, or replaced by a Huawei Customer Service Center?",5
1343,The Kudog cannot be logged in.,What can I do if I can't log in with my Huawei ID?,5
1344,Can I use a Lingnan Tong card on my Huawei phone?,Can I use a Lingnan Tong card on my Huawei phone?,5
1345,"I have to swipe my card when I get on the bus, but I can't swipe my card when I get off the bus.",Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
1346,I would like to see the next total number of access cards,Viewing/Deleting a Door Key,5
1347,Recharge invoice of Huawei Pay transportation card: All-in-one card in each city,Recharge invoice of Huawei Pay transportation card: All-in-one card in each city,5
1348,Can I add a transportation card to my Huawei Mate 8?,Does my phone or wearable device support bank cards (cloud flash payment) or transportation cards?,5
1349,Types of mobile phones that support access control cards,Number of keys and models that can be added,5
1350,"Today, I took a bus and swiped my card, and I got two deductions!",Repeated Fee Deduction for Huawei Pay Traffic Card Swiping,5
1351,Which mobile phones can be used to issue invoices?,Models that support the invoice function,5
1352,Identified. Never.,What can I do if I can't use face verification when swiping my bank card after updating my Mate 20 Pro?,5
1353,How do I close the UnionPay payment code on the Huawei Pay?,Disable the Huawei Pay UnionPay payment code.,5
1354,Huawei Pay Unable to Add a Bank Card,Failed to Add a Bank Card,5
1355,How does the eID authenticate the identity?,Using eID Offline Authentication,5
1356,Unable to log in to my Google account,What can I do if I can't log in with my Huawei ID?,5
1357,The card cannot be swiped.,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
1358,0 Yuan Shijiazhuang Discount,Huawei Pay Shijiazhuang All-in-One Card Promotion with CNY0 Discount,5
1359,How to cancel withholding?,How Do I Disable the Auto-Renew Service?,5
1360,Return Card Registration Fee,Service Fees for Opening and Deleting Transportation Cards,5
1361,My SIM card bound to my Huawei ID is disabled and I forget the password. How do I change the bound phone number?,How can I submit a self-service complaint using my Huawei ID?,5
1362,I want to cancel the payment code.,Unbind payment code (Alipay),5
1363,F**k you!,insulting,5
1364,Why does my wallet always appear on the desktop after I open it on my phone?,The Huawei Pay card swiping page is automatically displayed.,5
1365,How to disable the automatic fee deduction function?,How Do I Disable the Auto-Renew Service?,5
1366,"After I recharge my bus card, the money is not in my account.",Huawei Pay Traffic Card Recharge Not Received,5
1367,Payments and bills. You can't find them?,Viewing Huawei Pay Bank Card Transaction Records,5
1368,"No response when using Guangxi Transportation All-in-One Card in Harbin (bus, subway)","No response when using Guangxi Transportation All-in-One Card in Harbin (bus, subway)",5
1369,Why is there no sound when I swipe my Huawei Pay traffic card?,Why is there no sound when I swipe my Huawei Pay traffic card?,5
1370,I can't find my way out.,What can I do if I cannot see the entrance for adding Huawei Pay traffic cards?,5
1371,Traffic card doesn't respond.,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
1372,"Why is the message ""Server connection error. Please try again later."" displayed when I open the wallet on my Mate S?","Why does my Mate S display the message ""Server connection error. Please try again later."" when I open my wallet?",5
1373,Why do I automatically open the wallet page every time I open my phone?,The Huawei Pay card swiping page is automatically displayed.,5
1374,How many eIDs can a person have?,What Is eID?,5
1375,All-in-one card recharge,Method of Recharging a Transportation Card,5
1376,Can you help me with the transportation card?,Models that support transportation cards and the number of supported cards,5
1377,Does the HONOR Magic 2 support NFC?,Models that support transportation cards and the number of supported cards,5
1378,The password cannot be retrieved. Verify or change the password immediately.,"A message is displayed in the notification bar of your Huawei ID, indicating that your mobile number has not been verified for a long time. To avoid that the password cannot be retrieved, please verify or change it immediately. However, the message cannot be found after the screen is closed. How can I change the message?",5
1379,How can I submit remote logs?,Submitting Remote Logs,5
1380,Forgot payment password and security issues,Method of retrieving the payment password,5
1381,What can I do if my phone is lost or my wallet's bank card is lost?,What can I do if I lose my bank card?,5
1382,"Hello, honey?",salutes,5
1383,What kind of transportation cards can China's emperors use?,Which cities does the transportation card support?,5
1384,Fifteen a month. Not anymore.,How Do I Disable the Auto-Renew Service?,5
1385,What can I do if I forget the security question and payment question and the password?,Method of retrieving the payment password,5
1386,"If you return the card, the first 20 bucks will be returned.",Service Fees for Opening and Deleting Transportation Cards,5
1387,[Huawei][Account][Mobile phone][Number][Stop][Service][Password][Forgot][What to do],How can I submit a self-service complaint using my Huawei ID?,5
1388,"Excuse me, did you design the security answer yourself?",Method of resetting the security question,5
1389,How do I add a bus card?,Add a transportation card to the Huawei Pay.,5
1390,"I untied my first card before, but recently I tied it back, can I still participate in the activities?","During the activity, if a user unbinds the card from the mobile phone and binds the card again before the mobile phone recharges the account, the user cannot participate in the activity.",5
1391,The transportation card won't work today.,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,5
1392,Only some models of the all-in-one card and Jinling pass of Jiangsu Communications support this feature.,Only some models of the all-in-one card and Jinling pass of Jiangsu Communications support this feature.,5
1393,Wallet version 9.0.3.300 available?,What can I do if my HUAWEI P30 series phone cannot be updated to HiWallet 9.0.1.300?,5
1394,Could you turn it off and pay the merchants?,The Huawei Pay card swiping page is automatically displayed.,5
1395,"Hello, I'd like to add a door key. How do I add a door key?",Adding a Door Key,5
1396,Forgot Old Password,Method of retrieving the payment password,5
1397,I can't copy the access card.,Solution to the Problem that the Card Does Not Respond When the Key Is Added,5
1398,How to scan,What are the scan and payment code in my wallet?,5
1399,Can I add a key to the 9X?,Number of keys and models that can be added,5
1400,Why can't I see the traffic card on my new phone?,What can I do if I do not see a message indicating that I have moved to another phone after logging in to my new phone?,5
1401,"Differences of Interconnection Cards Between Beijing, Tianjin and Hebei Provinces","Beijing-Tianjin-Hebei interconnection card and Tianjin, Hebei issued Beijing-Tianjin-Hebei interconnection card what is the difference?",5
1402,Is eID widely used?,Which of the following scenarios can eID be used in?,5
1403,What can I do if my wallet crashes when I use the Agricultural Bank of China credit card to pay?,What can I do if my wallet crashes when I use the Agricultural Bank of China credit card to pay?,5
1404,Log in with your Huawei ID,How do I log in with my Huawei ID?,5
1405,How do I disable automatic monthly renewal for an app?,How Do I Disable the Auto-Renew Service?,5
1406,Can't Nova 4 add a transportation card to my wallet?,Models that support transportation cards and the number of supported cards,5
1407,Recommend products in the flexible period.,Product Selection in the Flexible Period,5
1408,How do I change my payment password?,Method of retrieving the payment password,5
